"Fx0"	"z"	"Lx0"
2.21870712887254e-12	0.025	3.16563146761398e+42
2.43276399043619e-12	0.025	3.47104588126348e+42
2.66747267187557e-12	0.025	3.80592612661801e+42
5.08276439249935e-12	0.025	7.25204272974062e+42
5.5731403325085e-12	0.025	7.95170673065929e+42
7.34682979824981e-12	0.025	1.04823909807159e+43
7.34682979824981e-12	0.025	1.04823909807159e+43
8.05563868455595e-12	0.025	1.1493713153803e+43
1.16439405334167e-11	0.025	1.66134701060527e+43
2.21870712887255e-11	0.025	3.165631467614e+43
7.03724780119455e-14	0.035	1.99737842440865e+41
7.03724780119455e-14	0.035	1.99737842440865e+41
7.7161887748664e-14	0.035	2.19008189181091e+41
7.7161887748664e-14	0.035	2.19008189181091e+41
7.7161887748664e-14	0.035	2.19008189181091e+41
7.7161887748664e-14	0.035	2.19008189181091e+41
8.4606327489658e-14	0.035	2.40137704213868e+41
8.4606327489658e-14	0.035	2.40137704213868e+41
8.4606327489658e-14	0.035	2.40137704213868e+41
8.4606327489658e-14	0.035	2.40137704213868e+41
8.4606327489658e-14	0.035	2.40137704213868e+41
8.4606327489658e-14	0.035	2.40137704213868e+41
8.4606327489658e-14	0.035	2.40137704213868e+41
8.4606327489658e-14	0.035	2.40137704213868e+41
9.27689933481597e-14	0.035	2.63305756742388e+41
9.27689933481597e-14	0.035	2.63305756742388e+41
9.27689933481597e-14	0.035	2.63305756742388e+41
9.27689933481597e-14	0.035	2.63305756742388e+41
9.27689933481597e-14	0.035	2.63305756742388e+41
1.01719178484409e-13	0.035	2.8870902118701e+41
1.01719178484409e-13	0.035	2.8870902118701e+41
1.01719178484409e-13	0.035	2.8870902118701e+41
1.01719178484409e-13	0.035	2.8870902118701e+41
1.01719178484409e-13	0.035	2.8870902118701e+41
1.01719178484409e-13	0.035	2.8870902118701e+41
1.01719178484409e-13	0.035	2.8870902118701e+41
1.11532861337752e-13	0.035	3.16563146761397e+41
1.11532861337752e-13	0.035	3.16563146761397e+41
1.11532861337752e-13	0.035	3.16563146761397e+41
1.11532861337752e-13	0.035	3.16563146761397e+41
1.11532861337752e-13	0.035	3.16563146761397e+41
1.11532861337752e-13	0.035	3.16563146761397e+41
1.22293350610306e-13	0.035	3.47104588126347e+41
1.22293350610306e-13	0.035	3.47104588126347e+41
1.22293350610306e-13	0.035	3.47104588126347e+41
1.22293350610306e-13	0.035	3.47104588126347e+41
1.34091992477494e-13	0.035	3.805926126618e+41
1.34091992477494e-13	0.035	3.805926126618e+41
1.34091992477494e-13	0.035	3.805926126618e+41
1.34091992477494e-13	0.035	3.805926126618e+41
1.34091992477494e-13	0.035	3.805926126618e+41
1.47028946028968e-13	0.035	4.17311501396832e+41
1.47028946028968e-13	0.035	4.17311501396832e+41
1.47028946028968e-13	0.035	4.17311501396832e+41
1.47028946028968e-13	0.035	4.17311501396832e+41
1.61214033522677e-13	0.035	4.57572962281402e+41
1.61214033522677e-13	0.035	4.57572962281402e+41
1.61214033522677e-13	0.035	4.57572962281402e+41
1.61214033522677e-13	0.035	4.57572962281402e+41
1.61214033522677e-13	0.035	4.57572962281402e+41
1.76767672669912e-13	0.035	5.01718776286205e+41
1.76767672669912e-13	0.035	5.01718776286205e+41
1.76767672669912e-13	0.035	5.01718776286205e+41
1.76767672669912e-13	0.035	5.01718776286205e+41
1.93821898865535e-13	0.035	5.50123698793468e+41
1.93821898865535e-13	0.035	5.50123698793468e+41
1.93821898865535e-13	0.035	5.50123698793468e+41
1.93821898865535e-13	0.035	5.50123698793468e+41
1.93821898865535e-13	0.035	5.50123698793468e+41
1.93821898865535e-13	0.035	5.50123698793468e+41
2.1252148604113e-13	0.035	6.03198640908683e+41
2.1252148604113e-13	0.035	6.03198640908683e+41
2.1252148604113e-13	0.035	6.03198640908683e+41
2.33025175656047e-13	0.035	6.61394157699573e+41
2.33025175656047e-13	0.035	6.61394157699573e+41
2.33025175656047e-13	0.035	6.61394157699573e+41
2.55507024259291e-13	0.035	7.25204272974069e+41
2.55507024259291e-13	0.035	7.25204272974069e+41
2.80157881061741e-13	0.035	7.95170673065937e+41
2.80157881061741e-13	0.035	7.95170673065937e+41
3.07187008061874e-13	0.035	8.718873052293e+41
3.07187008061874e-13	0.035	8.718873052293e+41
3.07187008061874e-13	0.035	8.718873052293e+41
3.07187008061874e-13	0.035	8.718873052293e+41
3.07187008061874e-13	0.035	8.718873052293e+41
3.07187008061874e-13	0.035	8.718873052293e+41
3.36823856478306e-13	0.035	9.56005419677965e+41
3.36823856478306e-13	0.035	9.56005419677965e+41
4.04951343374547e-13	0.035	1.14937131538031e+42
4.04951343374547e-13	0.035	1.14937131538031e+42
4.04951343374547e-13	0.035	1.14937131538031e+42
4.44020318509082e-13	0.035	1.26026058658692e+42
4.86858597889761e-13	0.035	1.38184825465118e+42
4.86858597889761e-13	0.035	1.38184825465118e+42
4.86858597889761e-13	0.035	1.38184825465118e+42
5.33829837190965e-13	0.035	1.51516648160353e+42
5.33829837190965e-13	0.035	1.51516648160353e+42
5.33829837190965e-13	0.035	1.51516648160353e+42
5.33829837190965e-13	0.035	1.51516648160353e+42
5.85332776930559e-13	0.035	1.66134701060526e+42
6.41804627392301e-13	0.035	1.82163077335633e+42
6.41804627392301e-13	0.035	1.82163077335633e+42
6.41804627392301e-13	0.035	1.82163077335633e+42
6.41804627392301e-13	0.035	1.82163077335633e+42
7.03724780119459e-13	0.035	1.99737842440866e+42
7.71618877486643e-13	0.035	2.19008189181092e+42
7.71618877486643e-13	0.035	2.19008189181092e+42
8.46063274896584e-13	0.035	2.40137704213869e+42
8.46063274896584e-13	0.035	2.40137704213869e+42
9.27689933481601e-13	0.035	2.63305756742389e+42
9.27689933481601e-13	0.035	2.63305756742389e+42
9.27689933481601e-13	0.035	2.63305756742389e+42
9.27689933481601e-13	0.035	2.63305756742389e+42
1.0171917848441e-12	0.035	2.88709021187011e+42
1.0171917848441e-12	0.035	2.88709021187011e+42
1.11532861337752e-12	0.035	3.16563146761398e+42
1.34091992477495e-12	0.035	3.80592612661801e+42
1.34091992477495e-12	0.035	3.80592612661801e+42
1.76767672669912e-12	0.035	5.01718776286208e+42
1.76767672669912e-12	0.035	5.01718776286208e+42
1.93821898865534e-12	0.035	5.50123698793467e+42
1.93821898865534e-12	0.035	5.50123698793467e+42
2.12521486041128e-12	0.035	6.03198640908677e+42
2.33025175656045e-12	0.035	6.61394157699567e+42
2.33025175656045e-12	0.035	6.61394157699567e+42
2.80157881061738e-12	0.035	7.95170673065929e+42
2.80157881061738e-12	0.035	7.95170673065929e+42
3.6932001456932e-12	0.035	1.04823909807159e+43
4.8685859788976e-12	0.035	1.38184825465118e+43
5.33829837190968e-12	0.035	1.51516648160354e+43
1.76767672669913e-11	0.035	5.0171877628621e+43
6.6491481074197e-14	0.045	3.16563146761397e+41
6.6491481074197e-14	0.045	3.16563146761397e+41
6.6491481074197e-14	0.045	3.16563146761397e+41
6.6491481074197e-14	0.045	3.16563146761397e+41
6.6491481074197e-14	0.045	3.16563146761397e+41
6.6491481074197e-14	0.045	3.16563146761397e+41
6.6491481074197e-14	0.045	3.16563146761397e+41
6.6491481074197e-14	0.045	3.16563146761397e+41
6.6491481074197e-14	0.045	3.16563146761397e+41
6.6491481074197e-14	0.045	3.16563146761397e+41
7.29064592271242e-14	0.045	3.47104588126347e+41
7.29064592271242e-14	0.045	3.47104588126347e+41
7.29064592271242e-14	0.045	3.47104588126347e+41
7.29064592271242e-14	0.045	3.47104588126347e+41
7.29064592271242e-14	0.045	3.47104588126347e+41
7.29064592271242e-14	0.045	3.47104588126347e+41
7.29064592271242e-14	0.045	3.47104588126347e+41
7.29064592271242e-14	0.045	3.47104588126347e+41
7.99403429005438e-14	0.045	3.805926126618e+41
7.99403429005438e-14	0.045	3.805926126618e+41
7.99403429005438e-14	0.045	3.805926126618e+41
7.99403429005438e-14	0.045	3.805926126618e+41
7.99403429005438e-14	0.045	3.805926126618e+41
7.99403429005438e-14	0.045	3.805926126618e+41
